应用id,名字,标题,图标,封面,地址,描述,分类,是否公开,"打开方式(正常:normal,最小化:Minimize,最大化:Maximize,外部:outer)",是否可调窗口,默认窗口宽度,默认窗口高度
20000,B站,BiliBili,/assets/desktop/icons/desktop/BiliBili.png,/assets/desktop/icons/desktop/BiliBili.png,https://www.bilibili.com,国内最大的番剧网站。,娱乐,TRUE,normal,FALSE,800,600
20001,DrawIO,DrawIo(专业导图工具),/assets/desktop/icons/desktop/drawio.ico,/assets/desktop/icons/desktop/drawio.ico,https://app.diagrams.net/,思维导图、流程图等绘制工具。,工具,TRUE,outer,TRUE,800,600
20002,豆包,豆包,/assets/desktop/icons/desktop/doubao.png,/assets/desktop/icons/desktop/doubao.png,https://www.doubao.com/chat/?open_from_ext=1,字节推出的AI工具。,网络,TRUE,normal,TRUE,800,600
20003,小雅Alist,小雅Alist,/assets/desktop/icons/desktop/xiaoya_alist.png,/assets/desktop/icons/desktop/xiaoya_alist.png,https://tv.veryssl.com,汇聚大量资源的网盘。,网络,TRUE,normal,TRUE,800,600
20004,IconFont,阿里巴巴图标库,/assets/desktop/icons/desktop/iconfont.png,/assets/desktop/icons/desktop/iconfont.png,https://www.iconfont.cn,设计师必备的网站。,网络,TRUE,normal,TRUE,800,600
20005,微信,微信传输助手,/assets/desktop/icons/taskbar/wechat.png,/assets/desktop/icons/taskbar/wechat.png,https://web1.wechat.com/cgi-bin/mmwebwx-bin/webwxindex?t=v2/index,电脑无需下载微信也可传输文件。,网络,TRUE,normal,TRUE,800,600
20006,Vscode,VSCode,/assets/desktop/icons/desktop/vscode.ico,/assets/desktop/icons/desktop/vscode.ico,https://vscode.dev/?vscode-lang=zh-cn,开源的编程软件。,工具,TRUE,normal,TRUE,800,600
20007,PS,Photopea,/assets/desktop/icons/desktop/photopea.png,/assets/desktop/icons/desktop/photopea.png,https://www.photopea.com,在线图片处理工具。,工具,TRUE,Maximize,TRUE,800,600
20008,魔笔小说,魔笔小说,/assets/desktop/icons/desktop/mobi.png,/assets/desktop/icons/desktop/mobi.png,https://mobinovels.com,轻小说下载网站。,娱乐,TRUE,normal,TRUE,800,600
20009,老男人,老男人(模拟器游戏资源站),/assets/desktop/icons/desktop/oldman.jpg,/assets/desktop/icons/desktop/oldman.jpg,https://www.oldmantvg.net,一个免费分享模拟器游戏的资源站。,娱乐,TRUE,normal,TRUE,800,600
20010,Byrutgame,Byrutgame（最大的游戏破解网站）,/assets/desktop/icons/desktop/byrutgame.png,/assets/desktop/icons/desktop/byrutgame.png,https://byrutgame.org,世界最大的破解游戏资源网站,娱乐,TRUE,normal,TRUE,800,600
20011,Macpa,Macpa,/assets/desktop/icons/desktop/macpa.png,/assets/desktop/icons/desktop/macpa.png,https://macpa.cn,苹果砸壳包资源站。,娱乐,TRUE,normal,TRUE,800,600
20012,量芯云,量芯云,/assets/desktop/icons/desktop/idc.ico,/assets/desktop/icons/desktop/idc.ico,https://idc.prolzy.com,这家的服务器比较便宜。,网络,TRUE,outer,TRUE,800,600
20013,腾讯云,腾讯云,/assets/desktop/icons/desktop/txcloud.png,/assets/desktop/icons/desktop/txcloud.png,https://cloud.tencent.com,性价比比较低不推荐。,网络,TRUE,outer,TRUE,800,600
20014,阿里云,阿里云,/assets/desktop/icons/desktop/aliyun.ico,/assets/desktop/icons/desktop/aliyun.ico,https://www.aliyun.com,性价比比较低不推荐。,网络,TRUE,outer,TRUE,800,600
20015,cloudflare,cloudflare,/assets/desktop/icons/desktop/cloudflare.ico,/assets/desktop/icons/desktop/cloudflare.ico,https://dash.cloudflare.com,这家服务器不错可以买，流量无限制,网络,TRUE,normal,TRUE,800,600
20016,全球代理搭建,全球代理搭建,/assets/desktop/icons/desktop/webproxy.png,/assets/desktop/icons/desktop/webproxy.png,https://reflect4.me,免费全球代理搭建,网络,TRUE,normal,TRUE,800,600
20017,AI模型库,AI模型库,/assets/desktop/icons/desktop/huggingface.svg,/assets/desktop/icons/desktop/huggingface.svg,https://huggingface.co,开源AI模型网站。,工具,TRUE,normal,TRUE,800,600
