序号,名字,图标,封面,地址,描述,分类
1000000,KONAMI赛车,,https://wgame80.com/wp-content/uploads/2021/07/111-133.jpeg,https://game.wgame80.com/web_game/roms/gba/KONAMI赛车.gba,KONAMI赛车,gba
1000001,GTA,,https://wgame80.com/wp-content/uploads/2021/07/111-132.jpeg,https://game.wgame80.com/web_game/roms/gba/GTA.gba,GTA,gba
1000002,钻地小子,,https://wgame80.com/wp-content/uploads/2021/07/111-131.jpeg,https://game.wgame80.com/web_game/roms/gba/钻地小子.gba,钻地小子,gba
1000003,侏罗纪公园3,,https://wgame80.com/wp-content/uploads/2021/07/111-130.jpeg,https://game.wgame80.com/web_game/roms/gba/侏罗纪公园3.gba,侏罗纪公园3,gba
1000004,重装机兵2,,https://wgame80.com/wp-content/uploads/2021/07/111-129.jpeg,https://game.wgame80.com/web_game/roms/gba/重装机兵2.gba,重装机兵2,gba
1000005,植木的法则,,https://wgame80.com/wp-content/uploads/2021/07/111-128.jpeg,https://game.wgame80.com/web_game/roms/gba/植木的法则.gba,植木的法则,gba
1000006,蜘蛛侠-未知的威胁,,https://wgame80.com/wp-content/uploads/2021/07/111-127.jpeg,https://game.wgame80.com/web_game/roms/gba/蜘蛛侠-未知的威胁.gba,蜘蛛侠-未知的威胁,gba
1000007,正邪幻想曲-ZERO,,https://wgame80.com/wp-content/uploads/2021/07/111-126.jpeg,https://game.wgame80.com/web_game/roms/gba/正邪幻想曲-ZERO.gba,正邪幻想曲-ZERO,gba
1000008,真·三国无双,,https://wgame80.com/wp-content/uploads/2021/07/111-125.jpeg,https://game.wgame80.com/web_game/roms/gba/真·三国无双.gba,真·三国无双,gba
1000009,侦探学园Q-挑战究极诡计,,https://wgame80.com/wp-content/uploads/2021/07/111-124.jpeg,https://game.wgame80.com/web_game/roms/gba/侦探学园Q-挑战究极诡计.gba,侦探学园Q-挑战究极诡计,gba
1000010,侦探神宫寺三郎-白影少女,,https://wgame80.com/wp-content/uploads/2021/07/111-123.jpeg,https://game.wgame80.com/web_game/roms/gba/侦探神宫寺三郎-白影少女.gba,侦探神宫寺三郎-白影少女,gba
